( common_voice_ca_17367800.mp3 "Aquest és el debat." )
( common_voice_ca_17368100.mp3 "Ja ho tinc!" )
( common_voice_ca_17368500.mp3 "El resultat final de la fase d'oposició serà la suma de les puntuacions de les proves teòrica i pràctica." )
( common_voice_ca_17368600.mp3 "Va tancar els ulls." )
( common_voice_ca_17368700.mp3 "L'òrgan que hagi resolt, estimarà o desestimarà les reclamacions formulades." )
( common_voice_ca_17368900.mp3 "Aquella borratxera de diners no podia acabar bé." )
( common_voice_ca_17369000.mp3 "És un nacionalisme impropi que pretén posar fi a la manera de ser dels valencians per a assimilar-los." )
( common_voice_ca_17369200.mp3 "Suposo que sí." )
( common_voice_ca_17369300.mp3 "Aigua corrent no fa mal a la gent." )
( common_voice_ca_17370200.mp3 "Ni dona desvergonyida, ni planta pel març florida." )
( common_voice_ca_17371300.mp3 "Elabora propostes d'assessorament en usos socials adaptant-les a les demandes dels clients." )
( common_voice_ca_17371400.mp3 "I és cert." )
( common_voice_ca_17371500.mp3 "A Sant Jaume i Santa Anna, raïm en la plana." )
( common_voice_ca_17373600.mp3 "A l'Ajuntament de Viladecans li correspon el quaranta-nou per cent dels totals drets i obligacions del Consorci." )
( common_voice_ca_17373800.mp3 "Ah, ja." )
( common_voice_ca_17374100.mp3 "L'absència d'informació sobre algun dels punts anteriors comportarà que no es valori el criteri." )
( common_voice_ca_17374600.mp3 "Vinc de seguida." )
( common_voice_ca_17374700.mp3 "L'exercici tindrà lloc a la ciutat de València." )
( common_voice_ca_17374900.mp3 "No deixaré de dir tot el que penso." )
( common_voice_ca_17375000.mp3 "Entre fruita verda i madura, es posa malalta la criatura." )
( common_voice_ca_17375500.mp3 "Comptes de cap, cabotes de nap." )
( common_voice_ca_17376700.mp3 "Paraula de rei no pot mentir." )
( common_voice_ca_17377200.mp3 "Se solia fer un cop al mes, coincidint amb la vinguda de la dona que venia a cosir." )
( common_voice_ca_17378200.mp3 "És millor suspendre la cocció a la meitat del temps i reprendre-la l'endemà." )
( common_voice_ca_17378300.mp3 "Identificació de les actuacions previstes." )
( common_voice_ca_17378500.mp3 "Projectes que obtinguin més punts en l'eix de grau d'implicació amb la cooperació i la cohesió territorial." )
( common_voice_ca_17378800.mp3 "Persones de més de cinquanta-cinc anys o amb discapacitats que dificultin la seva inserció laboral." )
( common_voice_ca_17378900.mp3 "Davant d'un problema o un servei complicat, no se'l troba." )
( common_voice_ca_17379000.mp3 "Les úniques que suportava eren les d'arròs i fideus gruixuts i la de vetes." )
( common_voice_ca_17379200.mp3 "Ah!, i a l'hivern escudella d'arròs i fideus gruixuts, amb la carn d'olla corresponent." )
( common_voice_ca_17379300.mp3 "Vells i tarats, en caure la fulla, colgats." )
( common_voice_ca_17380000.mp3 "Les locomotores, però, circulen malgrat la força gravitatòria." )
( common_voice_ca_17380100.mp3 "Els ulls mengen més que la boca." )
( common_voice_ca_17381300.mp3 "La sol·licitud d'ajuda haurà d'emplenar-se en el model d'instància que figura en l'annex u a la present resolució." )
